feature_name
ind_var30
num_meses_var5_ult3
num_var30
num_var42
ind_var5
var36_99_flag
var36
var15
num_var4
var38
ind_var8_0
ind_var13_0
num_var13
ind_var12_0
num_var13_0
saldo_var30
ind_var39_0
num_meses_var13_corto_ult3
ind_var13_corto_0
ind_var12
num_var30_0
ind_var5_0
ind_var24
num_meses_var12_ult3
num_var41_0
ind_var24_0
saldo_var13
imp_op_var41_efect_ult1
num_var39_0
num_var5_0
ind_var8
imp_op_var41_ult1
num_aport_var13_hace3
num_meses_var8_ult3
saldo_var13_corto
is_young
num_var12_0
num_var22_ult1
saldo_var42
ind_var26_cte
ind_var25_cte
saldo_medio_var13_corto_hace2
saldo_var12
imp_op_var41_efect_ult3
ind_var43_recib_ult1
num_op_var41_efect_ult1
imp_aport_var13_hace3
saldo_medio_var5_hace2
ind_var14_0
num_op_var41_efect_ult3
ind_var25_0
ind_var13_largo_0
ind_var26_0
saldo_medio_var5_ult3
num_var25_0
num_var26_0
num_var42_0
num_var13_largo_0
saldo_medio_var12_hace2
num_var43_recib_ult1
num_med_var22_ult3
saldo_medio_var5_hace3
saldo_medio_var5_ult1
saldo_var5
saldo_medio_var13_corto_hace3
num_var22_ult3
saldo_medio_var12_hace3
num_op_var41_ult1
num_meses_var39_vig_ult3
imp_trans_var37_ult1
var3
num_op_var41_ult3
imp_op_var39_comer_ult1
ind_var10_ult1
imp_op_var41_comer_ult1
num_var22_hace2
ind_var30_0
num_trasp_var11_ult1
ind_var10cte_ult1
ind_var9_ult1
delta_imp_aport_var13_1y3
num_var45_ult1
ind_var9_cte_ult1
num_op_var41_hace2
num_ent_var16_ult1
ind_var43_emit_ult1
num_var45_hace3
num_op_var41_comer_ult1
saldo_var26
num_op_var39_comer_ult1
saldo_medio_var8_hace2
saldo_var37
var3_missing
num_op_var41_comer_ult3
imp_var43_emit_ult1
imp_op_var41_comer_ult3
saldo_var8
var21
num_var14_0
num_op_var39_comer_ult3
